Constraint,Covered,Reasoning
There must be exactly one main purpose in the list of purposes associated with data processing.,No,"The General Data Protection Regulation (GDPR) does not explicitly require that there must be exactly one main purpose in the list of purposes associated with data processing. Instead, the GDPR emphasizes the importance of having a clear and legitimate purpose for data processing."
"If the processing type (pt) is ""Optional"" or ""Necessary"" then the processing category (pc) must be ""Consent/Contract"".",Yes,"The constraint aligns with the requirements of GDPR Chapter II, specifically Articles 6 and 7."
"If the category of processing (pc) is ""VitalInterest"" ""LegalObligation"" or ""PublicInterest"" then the type of processing (pt) must be ""Mandatory"".",Yes,"The constraint aligns with the requirements of GDPR Chapter II, specifically Articles 6 and 9."
The consent start date must be greater than or equal to the contract signature date and the consent end date must be less than or equal to the contract expiry date.,Yes,"The constraint aligns with the requirements of GDPR Chapter II, specifically Article 7, which outlines the conditions for consent."
The consent start date must be equal to or later than the processing start date and the consent end date must be equal to or earlier than the processing end date.,Yes,"The constraint aligns with the requirements of GDPR Chapter II, specifically Article 6 and Article 7."
The date of the response (issuedAt) must be equal to or later than the date of the request (issuedAt).,No,"The constraint that the date of the response (issuedAt) must be equal to or later than the date of the request (issuedAt) does not directly align with any specific GDPR chapter or article. The GDPR primarily focuses on the protection of personal data, the rights of data subjects, and the obligations of data controllers and processors. While timeliness is important in responding to data subject requests (e.g., Article 12 requires that information be provided without undue delay and in any event within one month of receipt of the request), the GDPR does not explicitly mandate that the response date must be equal to or later than the request date. This constraint is more of a logical and practical requirement for any request-response system rather than a specific GDPR obligation."
"If the type of data request is ""Rectification"" then the new value (newValue) must not be null.",Yes,"The constraint aligns with the requirements of GDPR Chapter III, specifically Article 16, which pertains to the ""Right to rectification."""
"If the type of data request is ""Deletion"" or ""Rectification"" then there must be exactly one piece of data associated with this request.",Yes,"The constraint aligns with the requirements of GDPR Chapter III, specifically Articles 16 and 17."
If a data request is of type Portability all data included in this request must be marked as portable (isPortable = true).,Yes,"The constraint aligns with the requirements of GDPR Chapter III, specifically Article 20, which outlines the right to data portability. Article 20 states that data subjects have the right to receive the personal data concerning them, which they have provided to a controller, in a structured, commonly used, and machine-readable format. This right is intended to facilitate the transfer of personal data from one controller to another, ensuring that the data is portable."
When creating a data request the isPersonal attribute of the associated data must be set to true (data must be personal).,Yes,"The constraint aligns with the requirements of GDPR Chapter II, specifically Article 4, which defines ""personal data"" and emphasizes the importance of identifying and handling personal data appropriately."
To create a data request (DataRequest) of type Rectification (GDPR right of rectification) the request must first be of this type (precondition). Once the request has been created the isIsolated field is set to true (postcondition) meaning that the data concerned by the request will be isolated.,Yes,"The constraint aligns with the requirements of GDPR Chapter III, specifically Article 16, which outlines the right to rectification."
In the context of a Breach all data involved must be personal (isPersonal = true). If data is not personal it must not be included in the breach.,Yes,"The constraint aligns with the requirements of GDPR Chapter II, specifically Article 4, which defines ""personal data"" and ""data breach."""
"If the risk level of the data breach is ""No risk"" then the reasons for non-notification to the data protection authority (sprvAuthNonNotifReasons) and the reasons for non-notification to the data subject (dataSubjNonNotifReasons) must be entered.",Yes,"The constraint aligns with the requirements of GDPR Chapter III, specifically Articles 33 and 34."
"If the risk level of the data breach is ""Medium"" then the reasons for non-notification (dataSubjNonNotifReasons) must be entered.",Yes,"The constraint aligns with the requirements of GDPR Chapter III, specifically Article 33 and Article 34."
