User Story,Covered,Reasoning
As a data controller I want to ensure that my organization complies with the data minimization principles by collecting only the information that is strictly necessary for the specific purposes of the processing.,Yes,"The user story aligns with the requirements of GDPR Chapter II, specifically Article 5, which outlines the principles relating to the processing of personal data. The data minimization principle is explicitly mentioned in Article 5(1)(c), which states that personal data shall be ""adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed."" This principle ensures that data controllers collect only the information that is strictly necessary for the specific purposes of the processing, which is exactly what the user story aims to achieve."
As a data controller I want to be able to document the details of each data processing operation including its legal basis its purpose(s) and the associated technical and organizational measures.,Yes,"The user story aligns with the requirements of GDPR Chapter IV, specifically Articles 24, 25, and 30."
As a data controller I want to be able to document the data required for each processing and its status (personal/non-personal) (data usage table).,Yes,"The user story aligns with the requirements of GDPR Chapter II, specifically Articles 5 and 30."
As a data controller I want to be able to document all transfers including the data consumer and the data to be transferred.,Yes,"The user story aligns with the requirements of GDPR Chapter V, specifically Articles 44-50, which deal with ""Transfers of personal data to third countries or international organisations."""
As a data controller I want to be able to add and perform a processing operation with the same purpose as another where further processing is necessary without obtaining additional consent from data subjects.,Yes,"The user story aligns with the requirements of GDPR Chapter II, specifically Article 6(4)."
As a controller I want to ensure that my organization has complete documentation of processing activities including purposes categories of data and recipients (processing activities record).,Yes,"The user story aligns with the requirements of GDPR Chapter IV, specifically Article 30. Article 30 mandates that controllers and processors maintain a record of processing activities. This record must include:"
As a data controller I want to ensure that my organization carries out Data Protection Impact Assessments (DPIA).,Yes,"The user story aligns with the requirements of GDPR Chapter IV, specifically Article 35. Article 35 of the GDPR mandates that data controllers must carry out Data Protection Impact Assessments (DPIAs) when the type of processing, in particular using new technologies, and taking into account the nature, scope, context, and purposes of the processing, is likely to result in a high risk to the rights and freedoms of natural persons. This ensures that organizations identify and mitigate risks to individuals' data protection rights before processing begins."
As a [data subject] I want to access all my personal data ([data list]).,Yes,"The user story aligns with the requirements of GDPR Chapter III, which covers the rights of the data subject. Specifically, it relates to Article 15, ""Right of access by the data subject."" Article 15 states that the data subject shall have the right to obtain from the controller confirmation as to whether or not personal data concerning him or her are being processed, and, where that is the case, access to the personal data and the following information:"
As a [data subject] I want to be able to object to processing ([processings list]).,Yes,"The user story aligns with the requirements of GDPR Chapter III, which covers the rights of the data subject. Specifically, it relates to Article 21, which outlines the data subject's right to object to processing. Article 21 states that the data subject has the right to object, on grounds relating to his or her particular situation, at any time to processing of personal data concerning him or her. This includes profiling based on those provisions. The user story directly addresses the need for a data subject to be able to object to processing, which is a fundamental right provided by the GDPR."
As a [data subject] I want to be able to restrict processing ([processings list]).,Yes,"The user story aligns with the requirements of GDPR Chapter III, which covers the rights of the data subject. Specifically, it relates to Article 18, ""Right to restriction of processing."" This article states that the data subject has the right to obtain from the controller restriction of processing where one of the following applies:"
As a [data subject] I want to give or not and withdraw my consent anytime for ([processings list]) so that I exercise my right to consent.,Yes,"The user story aligns with the requirements of GDPR Chapter II, specifically Article 7, which outlines the conditions for consent. Article 7(3) explicitly states that ""The data subject shall have the right to withdraw his or her consent at any time."" This directly corresponds to the user story's requirement for the data subject to give or withdraw consent at any time for specified processing activities. Additionally, Article 6(1)(a) mentions that one of the lawful bases for processing personal data is the data subject's consent, reinforcing the importance of obtaining and managing consent as described in the user story."
As a [data subject] I want to rectify any of my personal data ([data list]) so that I exercise my rectification right.,Yes,"The user story aligns with the requirements of Chapter III of the GDPR, specifically Article 16, which outlines the ""Right to rectification."""
As a [data subject] I want to erase any of my personal data ([data list]) so that I exercise my right to be forgotten.,Yes,"The user story aligns with the requirements of Chapter III of the GDPR, specifically Article 17, which outlines the ""Right to erasure ('right to be forgotten')""."
As a [data subject] I want to obtain my personal data ([data list]) in a structured and/or machine-readable format so that I exercise my right to personal data portability.,Yes,"The user story aligns with the requirements of Chapter III of the GDPR, specifically Article 20, which outlines the right to data portability. Article 20 states that the data subject has the right to receive the personal data concerning him or her, which he or she has provided to a controller, in a structured, commonly used, and machine-readable format. This right allows the data subject to transmit those data to another controller without hindrance from the controller to which the personal data have been provided. The user story directly reflects this right by specifying that the data subject wants to obtain their personal data in a structured and/or machine-readable format, thereby exercising their right to personal data portability."
